0,3.15,9.23,-0.16,-0.52,-0.63,-0.32,-0.48,1.73,9.41,0.75,-0.60,-0.59,-0.32,-0.44,-2.96,8.39,4.26,0.47,0.41,-0.35,-0.70
14,3.18,9.21,-0.16,-0.52,-0.63,-0.32,-0.48,1.82,9.42,0.71,-0.60,-0.59,-0.32,-0.44,-3.01,8.37,4.31,0.47,0.41,-0.35,-0.70
27,3.25,9.20,-0.20,-0.52,-0.63,-0.32,-0.48,1.77,9.43,0.69,-0.60,-0.59,-0.32,-0.44,-2.96,8.36,4.37,0.47,0.41,-0.35,-0.70
39,2.99,9.31,-0.14,-0.52,-0.63,-0.32,-0.48,1.68,9.44,0.71,-0.60,-0.59,-0.32,-0.44,-2.73,8.48,4.29,0.47,0.41,-0.35,-0.70
50,2.90,9.32,-0.09,-0.52,-0.63,-0.32,-0.48,1.47,9.50,0.77,-0.60,-0.59,-0.32,-0.44,-2.61,8.52,4.30,0.47,0.41,-0.35,-0.70
64,2.80,9.35,-0.06,-0.52,-0.63,-0.32,-0.48,1.29,9.45,0.86,-0.60,-0.59,-0.32,-0.44,-2.45,8.55,4.12,0.47,0.41,-0.35,-0.70
78,2.71,9.32,-0.02,-0.52,-0.63,-0.32,-0.48,1.16,9.44,0.88,-0.60,-0.59,-0.32,-0.44,-2.29,8.54,4.17,0.47,0.41,-0.35,-0.70
89,2.38,9.38,0.02,-0.52,-0.63,-0.32,-0.48,0.94,9.47,0.92,-0.60,-0.58,-0.32,-0.44,-2.20,8.56,4.21,0.47,0.41,-0.35,-0.70
101,2.33,9.40,0.00,-0.52,-0.63,-0.32,-0.48,0.85,9.48,0.94,-0.60,-0.58,-0.32,-0.44,-1.98,8.61,4.26,0.48,0.41,-0.35,-0.70
114,2.31,9.45,-0.03,-0.52,-0.63,-0.32,-0.48,0.75,9.55,0.85,-0.60,-0.58,-0.33,-0.44,-1.96,8.60,4.31,0.48,0.41,-0.35,-0.70
